非洲	África
Bryansk-chû	Oblast de Briansk
Michael Jackson	Michael Jackson
Kaluga-chû	Oblast de Kaluga
Loire-Atlantique-sén	Loire-Atlantique
Ain-sén	Ain
Allier-sén	Allier (departamento)
Khâm-phì-là	Camberra
Sông Alpes-sén	Altos Alpes
Oryol-chû	Oblast de Oriol
Sit-nì	Sydney
Alpes-de-Haute-Provence-sén	Alpes da Alta Provença
Liu̍k-set	Verde
Alpes-Maritimes-sén	Alpes Marítimos
Hâ-tet-sùn-hò	Rio Hudson
Me̍t-ngì-pún	Melbourne
Fùng-set	Vermelho
Ardèche-sén	Ardèche
Jena	Jena
Kursk-chû	Oblast de Kursk
Ariège-sén	Ariège
Aude-sén	Aude
Aveyron-sén	Aveyron
Sîn Nàm Vî-ngì-sṳ̂-chû	Nova Gales do Sul
Bouches-du-Rhône-sén	Bocas do Ródano
Àu-thai-li-â Sú-tû Liâng-thi	Território da Capital Australiana
Cantal-sén	Cantal
Belgorod-chû	Oblast de Belgorod
Côte-d'Or-sén	Côte-d'Or
Côtes-d'Armor-sén	Côtes-d'Armor
Drôme-sén	Drôme
Finistère-sén	Finistère
Voronezh-chû	Oblast de Voronej
Sû-mùn-tap-lia̍p	Sumatra
Lipetsk-chû	Oblast de Lipetsk
Van-tan-sén	Banten
Chûng Cháu-ôa-sén	Java Central
Fùi-sên	Cometa
Rostov-chû	Oblast de Rostov
Tûng Cháu-ôa-sén	Java Oriental
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Jacarta
Sî Cháu-ôa-sén	Java Ocidental
Adygea Khiung-fò-koet	Adiguésia
Ngit-ngiâ Thi-fông Thi̍t-khî	Yogyakarta
Gera	Gera
Maykop	Maikop
Cháu-ôa-tó	Java
Kâ-lî-man-tân-chû	Kalimantan
Séu Sùn-thâ Khiùn-tó	Pequenas Ilhas da Sonda
Sû-lâ-vî-sî-tó	Celebes
Mô-lu̍k-kâ Khiùn-tó	Ilhas Molucas
Chûng Kâ-lî-man-tân-sén	Kalimantan Central
Tûng Kâ-lî-man-tân-sén	Kalimantan Oriental
Nàm Kâ-lî-man-tân-sén	Kalimantan Meridional
Kâ-li-sî-â	Galiza
Sî Kâ-lî-man-tân-sén	Kalimantan Ocidental
Thai-ho̍k	Universidade
Pretoria	Pretória
Chok-khiù	Tênis de mesa
Â-sṳ̂-thù-lî-â-sṳ̂	Astúrias
Wikipedia:Sandbox	Wikipédia:Página de testes
Astrakhan-chû	Oblast de Astracã
Kham-thap-pu-lî-â	Cantábria
Kalmykia Khiung-fò-koet	Calmúquia
Weimar	Weimar
Osasco	Osasco
Â-là-kung	Aragão
Kak-là-sṳ̂-kô	Glasgow
Thùng-hói Kî-chhòng	Aeroporto de Dong Hoi
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Wulingyuan
