आफ्रिकाखण्डः	África
११४	114
१३४	134
१३५	135
१७९	179
१४२	142
९६	96
१८१	181
१४६	146
१४५	145
१८३	183
१८२	182
१८४	184
३२४	324
५८९	589
शुकः	Psittaciformes
५२१	521
९२	92
५९७	597
३२९	329
१३३	133
४१३	413
२५८	258
२५९	259
१९६	196
२३६	236
७८९	789
३३२	332
६३१	631
४८७	487
६३८	638
४७३	473
१७६	176
१४३	143
६४३	643
५२३	523
२१५	215
१४८	148
२४७	247
४२४	424
६४१	641
४९२	492
६३९	639
२५६	256
४४१	441
१३१	131
१९१	191
४५०	450
६१२	612
६३५	635
६११	611
५३४	534
४८८	488
६०७	607
५२४	524
२८२	282
४७२	472
४७१	471
४९०	490
३१६	316
७९७	797
५११	511
सन्तरणक्रीडा	Natação pura
२९५	295
५९८	598
३०३	303
२५०	250
५१५	515
५१२	512
४१८	418
३३३	333
२९४	294
२१७	217
२७७	277
५७८	578
३१२	312
२८४	284
२८३	283
२४१	241
मेषराशिः	Áries
२४३	243
२६२	262
४९८	498
३३६	336
३३४	334
२६६	266
मुष्टिकाताडनक्रीडा	Boxe
२६१	261
४७०	470
३४९	349
२७१	271
२७५	275
२९२	292
२९६	296
३४५	345
४३१	431
३०४	304
५५०	550
५८६	586
५८८	588
५५४	554
२२९	229
५८३	583
२६५	265
२६३	263
५८५	585
५८२	582
५५६	556
४२०	420
२८०	280
५८१	581
५५८	558
३०२	302
३०९	309
३५३	353
३३५	335
३६७	367
३४४	344
२४५	245
२९०	290
४४९	449
३०८	308
२५५	255
४३९	439
३१९	319
३१८	318
२९९	299
४१९	419
४१६	416
३३८	338
३१०	310
३१५	315
३५९	359
३६०	360
२७३	273
२८६	286
२८८	288
२७८	278
४५५	455
५७७	577
५७५	575
४८२	482
४८६	486
५८०	580
५६७	567
५६४	564
५६१	561
३२८	328
३२५	325
३१७	317
५७४	574
५६६	566
२४९	249
३४८	348
४४२	442
४४३	443
२६७	267
२४४	244
२४८	248
३४३	343
५६२	562
४१७	417
२६८	268
५९०	590
२६९	269
४९९	499
मलाला युसुफजई	Malala Yousafzai
४०९	409
४०५	405
४०६	406
४०३	403
४१४	414
४११	411
४१२	412
५६०	560
५९२	592
२७६	276
३१४	314
३२३	323
३६६	366
३६२	362
५४५	545
५३१	531
५१४	514
५१३	513
५३९	539
५३८	538
५१९	519
५१६	516
५२८	528
५०६	506
५२६	526
५०७	507
२१४	214
२१३	213
२१२	212
२२८	228
२२७	227
१४९	149
१७४	174
१८९	189
१९९	199
१४१	141
१३२	132
१२५	125
१२३	123
१४७	147
१४४	144
१९८	198
१७८	178
१७७	177
१८७	187
१९५	195
१८६	186
३४७	347
६२०	620
६२४	624
६०५	605
६२९	629
६१६	616
६१५	615
६४४	644
६४६	646
६३३	633
६३७	637
मोघलसाम्राज्‍यम्	Império Mogol
४३६	436
४३४	434
२९३	293
४२७	427
१८५	185
३२१	321
जालन्धर	Jalandar
३२७	327
४३०	430
त्रोत्स्की	Leon Trótski
४४७	447
लिटिल् राक्	Little Rock
५६९	569
हुब्बळ्ळी	Hubli
५६८	568
४४४	444
७९६	796
७९८	798
एला	Cardamomo-verdadeiro
७९३	793
६८५	685
हार्टफ़र्ड्	Hartford
७९९	799
६८३	683
२७४	274
डोवर्, डेलावेर्	Dover (Delaware)
५७९	579
२८१	281
३०६	306
४३८	438
कश्मीरी	Língua caxemira
२९७	297
४२१	421
२९८	298
३५१	351
३५२	352
३५५	355
९५	95
९४	94
५९४	594
५४२	542
४४८	448
४४५	445
३०५	305
२३४	234
५६५	565
कन्नडभाषा	Língua canaresa
३८१	381
३८५	385
३०७	307
३४६	346
२५७	257
विद्युत्	Raio (meteorologia)
२८५	285
५९१	591
२८९	289
हस्तः	Mão
५६३	563
२५२	252
ओडियाभाषा	Língua oriá
नेपाली भाषा	Língua nepali
जनसङ्ख्या	População
५९५	595
२४६	246
५९६	596
५९३	593
३५७	357
नेपालभाषा	Língua neuari
वालपाराईसो	Valparaíso (Chile)
अभिनेता	Ator
भल्लातकः	Cajueiro
जलपातः	Queda de água
५९९	599
३२६	326
३४१	341
३२२	322
३८६	386
३७४	374
३८०	380
नवनीतम्	Manteiga
१३६	136
कोङ्कणी	Língua concani
लाइनस टोर्वाल्ड्स	Linus Torvalds
अलेग्झाण्डर् ग्रहां बेल्	Alexander Graham Bell
फलितज्योतिषम्	Astrologia
वाद्ययन्त्राणि	Instrumento musical
हंसः	Cisne
न्‍यू आर्लीन्‍स	Nova Orleães
हिरोहितो	Hirohito
३८२	382
३४२	342
३७३	373
३७२	372
सोमालिलैंड	Somalilândia
मधुकर्कटीफलम्	Mamão
३७५	375
बेंजामिन फ्रैंकलिन	Benjamin Franklin
पर्णशाकम्	Repolho
विल्हेल्म् कार्नार्ड् रोण्ट्जेन्	Wilhelm Conrad Röntgen
तत्त्वमीमांसा	Metafísica
३८७	387
कोलम्बो	Colombo
आर्द्रकम्	Gengibre
द्रव्यम् (भौतविज्ञानम्)	Matéria
बाय्सी	Boise
श्वासरोगः	Asma
हो चि मिन्ह	Ho Chi Minh
मैथिली भाषा	Língua maithili
प्लाक्षफलम्	Figueira-comum
मलयाळम्	Língua malaiala
जीवनी	Biografia
इगुवास्सुजलपातः	Cataratas do Iguaçu
लोज़बानम्	Lojban
हाम्मुरबी	Hamurabi
महारानी काथरिन	Catarina, a Grande
हान्निबल	Aníbal
पिष्टानि	Farinha
गुग्लिमो मार्कोनी	Guglielmo Marconi
अटिला	Átila
पालिभाषा	Língua páli
अङ्ग सान् सू की	Aung San Suu Kyi
नखः	Unha
कुष्ठरोगः	Lepra
वदनम्	Face
टालाहासे	Tallahassee
सर् अलेक्साण्डर् प्लेमिङ्ग्	Alexander Fleming
राष्ट्रियबालदिनम् (भारतम्)	Dia Mundial da Criança
फ्लोरेन्स नैटिन्गेल	Florence Nightingale
३३१	331
३६५	365
३७९	379
राबर्ट् कोख्	Robert Koch
अध्यापकः	Professor
रामायणम्	Ramáiana
कलायः	Amendoim
जानु	Joelho
पिएरे क्युरी	Pierre Curie
टी. एस. एलियट	T. S. Eliot
पर्यावरणव्यवस्था	Ecossistema
शीतकम्	Frigorífico
मिष्टालुकम्	Batata-doce
ग्रिगोर् जान् मेण्डेल्	Gregor Mendel
रङ्गून	Rangum
हेलेन केलर	Helen Keller
हेनरी ८	Henrique VIII de Inglaterra
सान्टा फ़े	Santa Fé (Novo México)
देवनागरी	Devanágari
कलिङ्गफलम्	Melancia
पाकशास्त्रम्	Cozedura
ज्वरः	Febre
अन्ताराष्ट्रिय-महिलादिनम्	Dia Internacional da Mulher
शेयेन्	Cheyenne (Wyoming)
रिचार्ड फैनमन	Richard Feynman
आयतनम्	Volume
नारङ्ग	Laranja (cor)
पोल पॉट	Pol Pot
पेट्रोल्	Gasolina
क्रिस्टियन् हुगेन्स्	Christiaan Huygens
डे माय्ने	Des Moines
वातामम्	Amendoeira
वेदः	Vedas
जार्डन्-नदी	Rio Jordão
आम्लीयवर्षणम्	Chuva ácida
कार्ल बेन्ज़	Karl Benz
परवेज़ मुशर्रफ़	Pervez Musharraf
पियेर्	Pierre (Dakota do Sul)
धान्यानि	Semente
एड्वर्ड् जेन्नर्	Edward Jenner
अण्डमाननिकोबारद्वीपसमूहः	Andamão e Nicobar
वर्नर हाइजेनबर्ग	Werner Heisenberg
नेफेरतिति	Nefertiti
एवा पेरोन	Eva Perón
ललाटम्	Testa
टोपेका	Topeka
इटानगरम्	Itanagar
मार्टिन स्कोर्सेसे	Martin Scorsese
ग्रनैट् (शिला)	Granito
कर्ट गोडेल	Kurt Gödel
आमलकम्	Groselheira
डेविड हिल्बर्ट	David Hilbert
छत्रम्	Guarda-chuva
कुस्तुम्बरी	Coentro
भारतस्य राष्ट्रध्वजः	Bandeira da Índia
हेण्ड्रिक लारेन्ज़	Hendrik Lorentz
अन्तरतारकीयमाध्यमम्	Meio interestelar
मनमोहन सिंह	Manmohan Singh
रोजा पार्क्स	Rosa Parks
अन्वर् अल्-सादात्	Anwar Al Sadat
स्टार् वार्स्:रिवेंज् आफ़् दि सिथ्	Star Wars Episódio III: A Vingança dos Sith
गोबीमरुस्थलम्	Deserto de Gobi
संशोधनस्य प्रयोजनानि	Pesquisa
गूगल् अर्त्	Google Earth
बर्न्हार्ड रीमन	Bernhard Riemann
मृत्तिका	Argila
शिम्बी	Feijão
मल्लक्रीडा	Luta
गन्धद्रव्याणि	Especiaria
सिन्धुसंस्कृतिः	Civilização do Vale do Indo
हरिद्रा	Açafrão-da-terra
कूर्परः	Cotovelo
ओलम्पिया	Olympia (Washington)
बोरोबुदुर्	Borobudur
वाहनम्	Veículo
कृष्णः	Krishna
आग्रा	Agra (Índia)
तैलम्	Óleo
इवान् पेत्रोविच् पाव्लोव्	Ivan Pavlov
फ़्रान्ज़ फर्डिनान्ड	Francisco Fernando da Áustria-Hungria
मरीचम्	Pimenta-preta
माणिक्यम्	Rubi
काश्मीर	Caxemira
ओमाहा	Omaha (Nebraska)
काकः	Corvo
रिच्मन्ड्	Richmond (Virgínia)
चण्डीगढ	Chandigarh
मुक्ता	Pérola
स्त्री	Fêmea
दाक्षम्	Ginástica
अङ्गकोरवाटम्	Angkor Wat
अन्तोन् वान् ल्यूवेन् वोक्	Anton van Leeuwenhoek
बैठा बैल	Touro Sentado
भ्रूः	Sobrancelha
माडिसन्	Madison (Wisconsin)
अकशेरुकाः	Invertebrados
सेलेम्, ओरेगन्	Salem (Oregon)
लेतुवायर्क्	Tautiška Giesmė
आलिवर क्रामवेल	Oliver Cromwell
रुडोल्फ मोसबेउर	Rudolf Mössbauer
सलमान रश्दी	Salman Rushdie
हान्स कृस्टियन ओर्स्टेड	Hans Christian Ørsted
पियर सिमों लाप्लास	Pierre Simon Laplace
हिन्दुदेवालयः	Templo
चार्ल्सटन्	Charleston (Virgínia Ocidental)
विद्याधर सूरजप्रसाद नैपाल	Vidiadhar Naipaul
पोताश्रयः	Porto (transporte)
सुहार्तो	Suharto
ब्रह्मपुत्रनदः	Rio Bramaputra
विलियम वर्ड्सवर्थ	William Wordsworth
विश्वनाथन् आनन्द	Viswanathan Anand
पनसफलम्	Artocarpus heterophyllus
सत्येन्द्रनाथ बोस्	Satyendra Nath Bose
वरदक्षिणा	Dote
रक्तदुर्गम्	Forte Vermelho
दादरा नगरहवेली च	Dadrá e Nagar-Aveli
विलियम ए फोलर	William Alfred Fowler
कूर्मः	Testudinidae
अफीण	Ópio
द प्रेस्टीज्	The Prestige
भगवद्गीता	Bagavadguitá
द टाइम्स ओफ इण्डिया	The Times of India
राबर्ट् हुक्	Robert Hooke
तिब्बतीलिपिः	Alfabeto tibetano
कपोलः	Bochecha
ऐश्वर्या रै	Aishwarya Rai
बभ्रुः	Marrom
ब्राह्मणः	Brâmane
यजुर्वेदः	Iajurveda
श्रुतिः	Shruti
कामसूत्रम्	Kama Sutra
कीटः	Verme
जे जे थामसन	Joseph John Thomson
स्वामी विवेकानन्द	Swami Vivekananda
मातृदिवसः	Dia das Mães
प्रतिभा पाटिल	Pratibha Patil
३३९	339
३४०	340
लखनौ	Lucknow
३५४	354
३५६	356
३५८	358
३६१	361
३६३	363
३६४	364
३६८	368
३६९	369
३७०	370
३७१	371
फलकम्:Commonscat	Predefinição:Commonscat
३७६	376
३७७	377
३७८	378
३८३	383
३८४	384
३८८	388
३८९	389
३९०	390
३९१	391
३९२	392
३९३	393
३९४	394
३९५	395
३९६	396
३९७	397
३९८	398
३९९	399
काळिङ्गसर्पः	Cobra-real
पक्ष्म	Pálpebra
महायानम्	Maaiana
अमृतसर	Amritsar
शवः	Cadáver
२७९	279
४४०	440
५७२	572
कोलोराडो स्प्रिंग्स्	Colorado Springs
मजापहित साम्राज्य	Império Majapahit
पर्यटनम्	Turismo
जी-सुंग पार्क	Park Ji-Sung
फलकम्:Taxobox	Predefinição:Info/Taxonomia
सुनीता विलियम्स्	Sunita Williams
जेम्स फ्रान्क	James Franck
विल्हेम वेन	Wilhelm Wien
गुस्टाफ् हर्ज्	Gustav Ludwig Hertz
आटो स्टर्न	Otto Stern
पाल् एर्लख्	Paul Ehrlich
जोहन्नेस स्टार्क	Johannes Stark
मारिया गोपर्ट-मेयर	Maria Goeppert-Mayer
प्रणब मुखर्जि	Pranab Mukherjee
पञ्जाबीभाषा	Língua panjabi
सतना	Satna
सरस्वती देवी	Sarasvati
हिक्का	Soluço
तन्तुकरणयन्त्रम्	Roda de fiar
वेङ्कटरामन् रामकृष्णन्	Venkatraman Ramakrishnan
चन्द्रशेखर वेङ्कटरामन्	Chandrasekhara Venkata Raman
फ्रेडरिक क्यास्पर् वुल्फ्	Caspar Friedrich Wolff
मौर्यसाम्राज्यम्	Império Máuria
वुल्फगांग पौली	Wolfgang Pauli
जयपुरम्	Jaipur
कानपुरम्	Kanpur
इन्दौर	Indore
दमण	Damão e Diu
पुदुच्चेरी	Puducherry
अज्मल् कसब्	Azam Amir Kasav
सूरणम्	Dioscorea
अपवर्तनम् (भौतविज्ञानम्)	Refração
सुकर्णो	Sukarno
मेघावती सुकर्णोपुत्री	Megawati Sukarnoputri
वुल्फगांग केट्टेर्ले	Wolfgang Ketterle
ओट्टो हेन्रिक् वार्बर्ग्	Otto Heinrich Warburg
अगस्ट् वीस्मान्	August Weismann
हान्स् लिप्पर्शे	Hans Lippershey
वाल्थेर बोथे	Walther Bothe
अहिंसा	Não violência
केरो हेन्रिज्	Heinrich Caro
थियोडोर् स्छ्वान्	Theodor Schwann
म्याथयास् जेकब् ष्लेडन्	Matthias Schleiden
जे हान्स डी जेन्सेन	Johannes Hans Daniel Jensen
पावेल शेरेन्कोव	Pavel Cherenkov
जेम्स ६ (स्काटलैंड)	Jaime VI da Escócia e I de Inglaterra
काशी	Varanasi
घृतकुमारी	Babosa
तिन्त्रिणी	Tamarindus
पटना	Patna
श्रीवपोर्ट	Shreveport
रूप्यकम्	Rupia indiana
भेण्डा	Quiabo
जेम्स् चाडविक	James Chadwick
डोनाल्ड ए ग्लेसर	Donald Arthur Glaser
भोपाल	Bhopal
होमियोपति	Homeopatia
चणकः	Grão-de-bico
चार्ल्स १	Carlos I de Inglaterra
खदिरवृक्षः	Acácia
चार्ल्स् -अगस्टीन् डि कूलुम्ब	Charles Augustin de Coulomb
जान कीट्स	John Keats
जीन् ब्याप्टिस्ट् लामार्क्	Jean-Baptiste de Lamarck
सेम्येल टेलर कोलरिज	Samuel Taylor Coleridge
विलियम वालेस	William Wallace
लीयों नील कूपर	Leon Neil Cooper
मेरी १ (इंगलैंड)	Maria I de Inglaterra
चिबुकम्	Queixo
टिमोर	Timor
अग्निप्रस्तरः	Sílex
छत्राकम्	Cogumelo
जन गण मन	Jana Gana Mana
श्रीनिवासरामानुजन्	Srinivasa Ramanujan
जातीफलम्	Noz-moscada
एडवर्ड ६	Eduardo VI de Inglaterra
गुरु नानक देव	Guru Nanak
लुइस डे ब्रोग्ली	Louis de Broglie
जेम्स् डि व्याट्सन्	James Watson
अङ्गुष्ठः	Polegar
एलेनोर रोज़वेल्ट	Eleanor Roosevelt
पारासेल्सस्	Paracelso
भारोत्तोलनक्रीडा	Halterofilismo
मराठासाम्राज्यम्	Império Marata
शाहजहानः	Shah Jahan
शिमला	Shimla
कार्ल् लाण्ड्स्टैनर्	Karl Landsteiner
शब्दमालिन्यम्	Poluição sonora
सुभाषकाकः	Subhash Kak
विलियं हार्वे	William Harvey
मधु सूदन	Madhu Sudan
जिततैलम्	Azeite
पर्सी बिश शेली	Percy Bysshe Shelley
सूर्यकान्तितैलम्	Óleo de girassol
चायसस्यम्	Camellia sinensis
सर् रोनाल्ड् रास्	Ronald Ross
बकमिन्स्टर फुलर	Buckminster Fuller
आस्टन् फ्रान्सिस् विलियम्	Francis William Aston
जेर्मेन ग्रीर	Germaine Greer
लक मन्टेगेनियरः	Luc Montagnier
रविशङ्कर	Ravi Shankar
दन्तपाली	Gengiva
वितली गिन्ज़बर्ग	Vitaly Ginzburg
सिमोन वान डर मीर	Simon van der Meer
अङ्गप्रत्यारोपणम्	Transplantação de órgãos
युरोलोजी	Urologia
क्रैस्ताः	Cristão
तक्रम्	Leitelho
राजेश खन्ना	Rajesh Khanna
शेल्डन ग्लास्हौ	Sheldon Lee Glashow
हरगोविन्द खुराना	Har Khorana
उत्तरगोवामण्डलम्	Goa Norte
दक्षिणगोवामण्डलम्	Goa Sul
ए. आर्. रहमान्	A. R. Rahman
एड्वर्ड् क्याल्विन् केण्डल्	Edward Calvin Kendall
हिङ्गु	Ferula assafoetida
माधवः	Madhava de Sangamagrama
चाओ फ्रया	Rio Chao Phraya
एन	Ana da Grã-Bretanha
ग्यास्त्रोएन्टेरोलोजी	Gastroenterologia
भीमसेन जोशी	Bhimsen Joshi
जडत्वम् (भौतविज्ञानम्)	Inércia
चार्ल्स २	Carlos II de Inglaterra
केल्विन् विलियं थाम्सन् लार्ड्	William Thomson
चार्ल्स एडुआर्ड गुइल्लौमे	Charles Édouard Guillaume
फ्रान्सिस् एच् सि क्रिक्	Francis Crick
वस्त्रनिर्मलीकरणयन्त्रम्	Máquina de lavar roupa
स्लम्डाग् मिलियनेर्	Slumdog Millionaire
जेम्स ७ (स्काटलैंड)	Jaime II de Inglaterra
स्टीव् इर्विन्	Steve Irwin
मङ्गळूरु	Mangalore
अल्बर्ट ए मिकेल्सन	Albert Abraham Michelson
जार्ज ३	Jorge III do Reino Unido
आर्थर एच काम्पटन	Arthur Holly Compton
गतिविज्ञानम्	Dinâmica
ट्रिनिडाड	Trinidad
इन्द्रः	Indra
पुनर्जन्म	Reencarnação
माइकल ओवेन	Michael Owen
पॉल पोग्बा	Paul Pogba
भारतस्य विभजनम्	Partição da Índia
मिथुनराशिः	Gêmeos (astrologia)
अन्नगन्धिः	Disenteria
जाह्न (इंगलैंड)	João de Inglaterra
ऊरुः	Coxa
भारतस्य प्रथमस्वातन्त्र्यसङ्ग्रामः	Rebelião Indiana de 1857
विलियम ३ (इंगलैंड)	Guilherme III de Inglaterra
जार्ज ४	Jorge IV do Reino Unido
वर्णाश्रमव्यवस्था	Sistema de castas da Índia
जार्ज १	Jorge I da Grã-Bretanha
मेरी २	Maria II de Inglaterra
विलियम ४	Guilherme IV do Reino Unido
रोबर्ट ए मिल्लिकन्	Robert Andrews Millikan
वायुमालिन्यम्	Poluição atmosférica
ली क्वान यु	Lee Kuan Yew
वर्तुलकम्	Vicia faba
मेरी १ (स्काटलैंड)	Maria da Escócia
लक्ष्मीः	Lakshmi
मन्त्रः	Mantra
भारतस्य राज्यानि	Estados e territórios da Índia
हेनरी ५	Henrique V de Inglaterra
विलियम लारेन्स ब्राग	William Lawrence Bragg
क्यावेण्डिष् हेन्रि	Henry Cavendish
औपसर्गिकव्याधिः	Doença infecciosa
जार्ज २	Jorge II da Grã-Bretanha
काली	Kali
सानिया मिर्ज़ा	Sania Mirza
भारतीयपर्वाणि	Festival
आयुर्वेदः	Ayurveda
अमर्त्य सेन	Amartya Sen
जीरकम्	Cominho
यमुनानदी	Rio Yamuna
रिचर्ड ३	Ricardo III de Inglaterra
पादः	Perna
भारतस्य इतिहासः	História da Índia
मेथिका	Feno-grego
लेव लाण्डौ	Lev Landau
पृष्ठभागः	Costas
विलियम हेन्री ब्राग	William Henry Bragg
जार्ज पेजेट थामसन	George Paget Thomson
आकस्मिक चिकित्सा	Primeiros socorros
कन्याराशिः	Virgem (astrologia)
जां बाप्टिस्टे पेरिन	Jean Baptiste Perrin
पोलोक्रीडा	Polo (esporte)
धर्मः	Darma
तुलाराशिः	Libra (astrologia)
वृश्चिकराशिः	Escorpião (astrologia)
भौतिकी तुला	Balança
जेम्स ५	Jaime V da Escócia
जेम्स ४	Jaime IV da Escócia
प्रिन्‍सटन	Princeton
जकारियस् जान्सन्	Zacharias Janssen
ग्रहणम्	Eclipse
राजशिम्बी	Legume
सिद्धपेयम्	Refrigerante
सुब्रह्मण्यन् चन्द्रशेखरः	Subrahmanyan Chandrasekhar
रजनीशः	Rajneesh
लज्जालुसस्यम्	Mimosa pudica
नागरङ्गफलम्	Cidra
डेविड दे हेया	David de Gea
जार्ज् कार्लिन्	George Carlin
चोळवंशः	Império Chola
चर्मकारः	Sapateiro
एडवार्ड् वी एप्पलटन्	Edward Appleton
नार्मन् बोर्लाग्	Norman Borlaug
इगोर वाइ टाम	Igor Tamm
राबर्ट् ब्रौन्	Robert Brown
जोसेफ् लिस्टर्	Joseph Lister
मासातोशी कोशिबा	Masatoshi Koshiba
हिदेकी युकावा	Hideki Yukawa
लुइ नील	Louis Eugène Félix Néel
डेनिस गाबोर	Dennis Gabor
यूजीन विग्नर	Eugene Paul Wigner
हान्स बेथे	Hans Bethe
एरण्डसस्यम्	Mamona
आजाद हिन्द फौज्	Exército Nacional Indiano
काकमाची	Atropa belladonna
तक्षशिलाविश्वविद्यालयः	Taxila
जे. बि. एस्. हाल्डेन्	J. B. S. Haldane
वास्तुकम्	Amaranto
लता मङ्गेशकरः	Lata Mangeshkar
सर्वपल्ली राधाकृष्णन्	Sarvepalli Radhakrishnan
काफीसस्यम्	Cafeeiro
लकुचम्	Moraceae
पूगवृक्षः	Areca catechu
साम्युयेल् हानिमन्	Samuel Hahnemann
वामनी	Açoro
भेडाघाट्	Bhedaghat
ग्वालियर	Gwalior
दीपिका पडुकोणे	Deepika Padukone
नागवल्लीपत्रम्	Piper betle
जपापुष्पम्	Hibiscus rosa-sinensis
सिंहराशिः	Leão (astrologia)
ह्यूगो द व्रीस्	Hugo de Vries
रामः	Rama
हेनरी ६	Henrique VI de Inglaterra
एडवर्ड ४	Eduardo IV de Inglaterra
थियोफ्रास्टस्	Teofrasto
पुतिहासस्यम्	Mentha arvensis
पारसीकयवानी	Hyoscyamus niger
अरग्वदवृक्षः	Cássia-imperial
प्रियङ्गुः	Setaria italica
कर्कटराशिः	Câncer (astrologia)
आम्रम्	Mangifera
एडवार्ड गिबन	Edward Gibbon
हेनरी ४	Henrique IV de Inglaterra
कुम्भराशिः	Aquário (astrologia)
महानिम्बिसस्यम्	Amargoseira
स्पन्दमापिनी	Estetoscópio
जेन	Joana Grey
प्रयागः	Allahabad
ओन्कोलोजी	Oncologia
सी टी आर विल्सन	Charles Thomson Rees Wilson
सोनिया गान्धी	Sonia Gandhi
विलियम शाक्ली	William Bradford Shockley
निमेन्या विडिच	Nemanja Vidić
द डार्क् नैट्	The Dark Knight
श्यामाकः	Echinochloa
वृषभराशिः	Touro (astrologia)
मकरराशिः	Capricórnio
आल्बर्ट् स्याबिन्	Albert Sabin
साङ्ख्यदर्शनम्	Samkhya
हरितगृहम्	Estufa
मधुरकूष्माण्डम्	Abóbora
उन्नतकूर्दनम्	Salto em altura
स्टार् वार्स्:दि फ़ांटम् मेनस्	Star Wars Episódio I: A Ameaça Fantasma
परावर्तनम् (भौतविज्ञानम्)	Reflexão (física)
इसिडोर ऐजक रबि	Isidor Isaac Rabi
बैटमेन बिगिंस्	Batman Begins
चम्पकम्	Michelia champaca
मध्यमा	Dedo médio
विजयनगरसाम्राज्यम्	Reino de Bisnaga
तिरुवनन्तपुरम्	Thiruvananthapuram
गुल्फः	Tornozelo
कार्ल् डी एन्डरसन्	Carl David Anderson
धूमनीहारः	Smog
दार्जिलिङ्ग	Darjeeling
श्रीनगरम्	Srinagar
डिमीटार बरबाटोव	Dimitar Berbatov
आण्ड्रियेस् वेसेलियस्	Andreas Vesalius
ओलम्पिक् ज्वाला	Chama Olímpica
अगर्तला	Agartala
निम्बः	Neem
एडवर्ड ५	Eduardo V de Inglaterra
पार्वती	Parvati
प्रलम्बकूर्दनम्	Salto em comprimento
जानुवातः सन्धिवातश्च	Artrite
रोबर्ट वूड्रो विल्सन	Robert Woodrow Wilson
मृदुकन्दुक-क्रीडा	Softbol
बाणभट्टः	Banabhatta
शतद्रुनदी	Rio Sutlej
भुवनेश्वरम्	Bhubaneswar
रक्तदुर्गम् (आग्रा)	Forte de Agra
भारतस्य राष्ट्रियचिह्नम्	Brasão de armas da Índia
जार्ज् क्युव्ये	Georges Cuvier
पर्सी ब्रिजमन	Percy Williams Bridgman
स्टीवन चू	Steven Chu
कटनी	Murwara (Katni)
डैरेन फ्लेचर	Darren Fletcher
मरे गेलमन	Murray Gell-Mann
प्योट्र कापिट्सा	Pyotr Kapitsa
एमिलियो गीनो सेग्रे	Emilio Gino Segrè
कनीनिका	Pupila
मनोरञ्जनं	Entretenimento
प्रेमचन्दः	Munshi Premchand
हिब्रूविश्वविद्यालयः (येरुशलम्)	Universidade Hebraica de Jerusalém
अंटोनियो वालेंसिया	Antonio Valencia
पार्ष्णिः	Calcanhar
रेमन्ड डेविस जुनियर	Raymond Davis Jr.
थामस् हण्ट् मार्गन्	Thomas Hunt Morgan
गाब्रियोलो फालोपियस्	Gabriele Falloppio
सेसिल पावेल	Cecil Frank Powell
लुइ अल्वारेज़	Luis Walter Alvarez
अन्ताराष्ट्रियः व्यापारः	Comércio internacional
खजुराहो	Conjunto de Templos de Khajuraho
खण्डकाव्यानि	Ode
फतेह्-पुर्-सिक्री	Fatehpur Sikri
डा. जयन्त नारळीकर	Jayant Narlikar
जिद्दु कृष्णमूर्ति	Jiddu Krishnamurti
स्टीवन वैनबर्ग	Steven Weinberg
जोर्ज एफ स्मूट	George Smoot
लीयो एसाकी	Leo Esaki
पुनर्गमनवाद	Recursividade
वर्गिस् कुरियन्	Verghese Kurien
सुवर्णमन्दिरम्	Harmandir Sahib
आदिशङ्कराचार्यः	Shânkara
स्टार् वार्स्:अटाक् आफ़् दि क्लोन्स्	Star Wars Episódio II: Ataque dos Clones
साञ्चीस्तूपः	Sanchi
ब्रायन जोसेफसन	Brian David Josephson
चेन निंग यांग	Chen Ning Yang
महाथिर मोहमद	Mahathir bin Mohamad
तन्त्रशास्त्रम्	Tantra
कर्पूरम्	Cânfora (química)
अगस्टा, जार्जिया	Augusta (Geórgia)
प्लास्टिक शल्यचिकित्सा	Cirurgia plástica
अलङ्काराः	Figura de linguagem
आडुबान् जान् जेम्स्	John James Audubon
रेखिचिकित्सा	Reiki
श्रीरामकृष्णपरमहंसः	Ramakrishna
जलमालिन्यम्	Poluição da água
हंस:	Anser
मोक्षः	Moksha
जीवविकासवादः	Darwinismo
ॐ	Om
थामस् हेन्रि हक्स्लि	Thomas Henry Huxley
अजन्तागुहाः	Grutas de Ajanta
पेट्रिक एम एस ब्लाकेट	Patrick Maynard Stuart Blackett
सिन-इतिरो तोमोनागा	Shin'ichiro Tomonaga
चार्ल्स् एच् टाउन्स्	Charles Hard Townes
गेरार्डस 'टी हूफ्ट	Gerardus 't Hooft
मारीस् एच् विल्किन्स्	Maurice Wilkins
हास्टिंग्स बान्डा	Hastings Kamuzu Banda
दण्डकूर्दनम्	Salto com vara
ब्राह्मीलिपिः	Escrita brahmi
अर्जुनः	Arjuna
मिग्नेल् सर्वेटस्	Miguel Servet
वैश्यः	Vaixá
अयोध्या	Ayodhya
गङ्गटोक्	Gangtok
धर्मशाला, हिमाचलप्रदेशः	Dharamshala
जुलियन श्विंगर	Julian Schwinger
विलिस इ लाम्ब	Willis Eugene Lamb
राष्ट्रियध्वजः	Bandeira nacional
कार्लो रुबिया	Carlo Rubbia
त्रिः कूर्दनम्	Triplo salto
राबर्ट १	Roberto I da Escócia
कुतुब् मिनार्	Qutb Minar
डैनी वेल्बेक	Danny Welbeck
चन्द्रगुप्तमौर्यः	Chandragupta Máuria
पुराणानि	Purana
हनुमान्	Hanuman
शिक्षकदिनम् (भारतम्)	Dia do professor
राष्ट्रियपुस्तकालयः (इजरायल्)	Biblioteca Nacional de Israel
नेविल एफ मोट्ट	Nevill Francis Mott
एल्लोरागुहाः	Grutas de Ellora
पाणिनिः	Pānini
