非洲	África
1619年	1619
1620年	1620
1621年	1621
1700年	1700
1701年	1701
1622年	1622
1623年	1623
1702年	1702
1624年	1624
1703年	1703
1704年	1704
1625年	1625
1705年	1705
1626年	1626
1627年	1627
1706年	1706
1628年	1628
1707年	1707
1708年	1708
1629年	1629
1630年	1630
1709年	1709
1631年	1631
1710年	1710
1632年	1632
1711年	1711
1633年	1633
1712年	1712
1634年	1634
1713年	1713
1800年	1800
1801年	1801
1714年	1714
1635年	1635
詹姆斯·喬伊斯	James Joyce
1802年	1802
1715年	1715
1636年	1636
1803年	1803
1637年	1637
1716年	1716
1638年	1638
1804年	1804
1717年	1717
1639年	1639
1805年	1805
1718年	1718
1640年	1640
1719年	1719
1806年	1806
1641年	1641
1720年	1720
1807年	1807
1642年	1642
1721年	1721
1808年	1808
1643年	1643
1722年	1722
1809年	1809
1644年	1644
1723年	1723
1810年	1810
1645年	1645
1724年	1724
20世紀	Século XX
1811年	1811
1646年	1646
1725年	1725
1812年	1812
1647年	1647
1726年	1726
1813年	1813
21世紀	Século XXI
1648年	1648
1727年	1727
1814年	1814
1649年	1649
1728年	1728
1815年	1815
1650年	1650
1729年	1729
1816年	1816
19世紀	Século XIX
1651年	1651
1730年	1730
1817年	1817
1652年	1652
1731年	1731
1818年	1818
1653年	1653
1732年	1732
1819年	1819
1654年	1654
1733年	1733
1820年	1820
1655年	1655
1821年	1821
1734年	1734
1656年	1656
1822年	1822
1735年	1735
1657年	1657
1823年	1823
1736年	1736
1658年	1658
1737年	1737
1824年	1824
1659年	1659
1738年	1738
1825年	1825
1660年	1660
1739年	1739
1826年	1826
1661年	1661
1740年	1740
1827年	1827
18世紀	Século XVIII
17世紀	Século XVII
16世紀	Século XVI
15世紀	Século XV
14世紀	Século XIV
13世紀	Século XIII
12世紀	Século XII
11世紀	Século XI
享樂主義	Hedonismo
李白	Li Bai
圖書館	Biblioteca
唯物主義	Materialismo
玻爾	Niels Bohr
意識	Consciência
生物技術	Biotecnologia
秦	Dinastia Chin
北大西洋公約組織	Organização do Tratado do Atlântico Norte
居里夫人	Marie Curie
諾貝爾獎	Prémio Nobel
秦始皇	Qin Shihuang
中東	Médio Oriente
伊麗莎白一世	Isabel I de Inglaterra
漢	Dinastia Han
劉徹	Wu de Han
聖女貞德	Joana d'Arc
所霍利茲	Sófocles
托爾斯泰	Liev Tolstói
圖靈	Alan Turing
馬克思主義	Marxismo
凍嘴	Beijo
元	Dinastia Yuan
伊戈·式査溫斯基	Ígor Stravinski
朱澤魄·渥帝	Giuseppe Verdi
拿可·卡帖	Jacques Cartier
哥倫布	Cristóvão Colombo
庫克船長	James Cook
伊本·巴杜他	Ibn Battuta
鄭和	Zheng He
大堡礁	Grande Barreira de Coral
巴拿馬運河	Canal do Panamá
晉	Dinastia Jin (265-420)
南冰洋	Oceano Antártico
司馬熾	Huaidi
耳刀	Orelha
鼻公	Nariz
眼睛	Olho
羊	Ovis aries
象	Elefante
隋	Dinastia Sui
宋	Dinastia Sung
忽必烈	Kublai Khan
娘	Mãe
雪	Neve
爺	Pai
細伢子	Criança
